source_id,aircraft_or_config,aircraft_class,flight_condition,evidence_type,input_definition,T_R_s,lambda_s_1_s,T_s_s,spiral_metric_s,spiral_metric_type,tau_p_s,zeta_d,omega_d_rad_s,zeta_phi,omega_phi_rad_s,R_omega,R_zeta,K_pF_deg_s_lbf,L_Fa_deg_s2_lbf,p_command_max_deg_s,locator,notes
S07,SST baseline/no augmentation,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,1.689,-0.030006371452811483,33.32625544453506,23.1,stable time-to-half,,0.079,0.805,0.24648,0.454825,0.565,3.12,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST baseline/HSAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.85,-0.04471917293935131,22.361773133778936,15.5,stable time-to-half,,0.45,0.522,0.26505,0.456228,0.874,0.589,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST baseline/SCAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.27,0.0,,,neutral,,0.266,0.741,0.255892,0.743964,1.004,0.962,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST baseline/modified SCAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.241,0.0,,,neutral,,0.259,0.562,0.255633,0.5760500000000001,1.025,0.987,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST powered-lift/no augmentation,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,1.017,-0.005389946971694754,185.5305822583207,128.6,stable time-to-half,,0.051,0.685,0.23720099999999997,0.476075,0.695,4.651,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST powered-lift/HSAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.351,-0.0038897148179570444,257.0882562864133,178.2,stable time-to-half,,0.205,0.524,0.238005,0.47579200000000005,0.908,1.161,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST powered-lift/SCAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.238,0.0,,,neutral,,0.269,0.617,0.26093,0.613298,0.994,0.97,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S07,SST powered-lift/modified SCAS,large transport concept,"approach, 153 kt",piloted simulation configuration,simulation lateral control,0.218,0.0,,,neutral,,0.254,0.528,0.244094,0.525888,0.996,0.961,,,,"Table V, PDF pp.48-49",T_s由稳定半幅时间派生；中性螺旋lambda=0。
S06,F-18 HARV lateral LOES,fighter/high-alpha,alpha=45 deg,flight-test identification,lateral stick/rudder,1.8,-0.08695652173913043,11.5,,stable T_s,0.0125,0.72,1.71,,,,,,,,"Table 10, PDF p.62",tau为横向操纵输入辨识时延；方向舵时延另为0.0588 s。
S09,XV-15 airplane mode p/delta_a,tiltrotor/fixed-wing mode,cruise identification,flight-test frequency-response identification,"aileron deflection, not force",0.9174311926605504,-0.063,15.873015873015873,,stable pole,0.045,0.248,1.58,0.313,1.89,1.1962025316455696,1.2620967741935485,,,,PDF p.133 transfer function,传函增益-4.49对应副翼偏角输入，不能当L_Fa。
S10,Cessna 177B Cardinal,light GA,80 mph CAS,flight test,rudder excitation,,,,,,,0.5,1.6,,,,,,,,"Dutch Roll Characteristics, PDF p.29",zeta_d为下界（原文in excess of 0.5），不是精确点。
S10,Cessna 177B Cardinal,light GA,120 mph CAS,flight test,rudder excitation,,,,,,,0.4,2.1,,,,,,,,"Dutch Roll Characteristics, PDF p.29",zeta_d为下界（原文in excess of 0.4），不是精确点。
S11,Cessna 172 model comparison,light GA model,reference model,model/analysis,model,0.08,-0.011,90.90909090909092,,stable modal pole magnitude,,0.21,3.38,,,,,,,,"Tables 78, 81, 82; PDF pp.270,273-274",用于模型对照，不是本报告新做的飞行辨识。
S11,UltraStick120,small fixed-wing UAS,23 m/s nominal,model/analysis,actuator command,0.109,-0.0304,32.89473684210526,,stable modal pole magnitude,,0.29,3.99,,,,,,,,"Tables 78,81,82",Table 78另一比较工况给omega_d=5.44。
S11,UltraStick25e,small fixed-wing UAS,17 m/s nominal,model/analysis,actuator command,0.063,-0.026,38.46153846153846,,stable modal pole magnitude,,0.33,5.59,,,,,,,,"Tables 79,81,82",Table 79另一缩比比较工况给omega_d=7.85。
S12,F-16XL DFLCS range,fighter,multiple flight conditions,flight-test range,force-command sidestick,0.21,,,,,0.15,,,,,,,,,,PDF p.18,T_R范围下端；tau为约值。
S12,F-16XL DFLCS range,fighter,multiple flight conditions,flight-test range,force-command sidestick,0.61,,,,,0.15,,,,,,,,,,PDF p.18,T_R范围上端；tau为约值。
